Gene,t-scores,p-values,FDR-adjusted p-values,q-values,BH FDR-adjusted p-values
MOV10,4.7075,0.0086621,0.71561,0.71561,0.71804
ZNF432,4.6917,0.0088046,0.72229,0.71819,0.72063
RBM22,-4.6853,0.0088978,0.72487,0.71819,0.72063
DHRS1,4.6853,0.008898,0.71989,0.71819,0.72063
PLEKHG2,-4.6687,0.0089952,0.72276,0.71819,0.72063
PDIA3P,-4.6684,0.0089994,0.71819,0.71819,0.72063
FAM200A,4.656,0.0090923,0.72069,0.71835,0.72079
LIAS,4.6432,0.0092026,0.72454,0.71835,0.72079
FAM70B,-4.6417,0.0092253,0.72148,0.71835,0.72079
CCDC125,-4.6398,0.0092464,0.71835,0.71835,0.72079
HEXB,4.6154,0.0094279,0.72763,0.72763,0.73011
P4HA2,4.5919,0.0096086,0.73673,0.7296,0.73208
BCL7B,-4.5919,0.0096087,0.73195,0.7296,0.73208
PRR13,4.5847,0.00964,0.7296,0.7296,0.73208
PCNXL4,-4.5705,0.0097207,0.73099,0.73099,0.73348
TLN1,4.5347,0.009979,0.74564,0.74564,0.74817
SYT3,-4.5275,0.010087,0.74896,0.7468,0.74934
SERPINE1,4.5248,0.010122,0.7468,0.7468,0.74934
PCP4,-4.5116,0.010218,0.74915,0.74701,0.74955
ZNF167,4.5091,0.010252,0.74701,0.74701,0.74955
DNAJB12,4.4745,0.010537,0.76303,0.76263,0.76522
MRS2,4.469,0.01061,0.76362,0.76263,0.76522
YAP1,4.454,0.010685,0.76434,0.76263,0.76522
TTC23,4.4399,0.010826,0.76972,0.76263,0.76522
CRYGS,4.4356,0.01088,0.76888,0.76263,0.76522
CCT4,4.4309,0.010915,0.76671,0.76263,0.76522
PIK3CA,-4.4261,0.010959,0.76528,0.76263,0.76522
MAT2B,4.4213,0.010987,0.76263,0.76263,0.76522
CAST,4.3842,0.011287,0.77884,0.77884,0.78149
LAMB2,4.3776,0.011433,0.78431,0.78431,0.78698
PARVA,4.3695,0.011531,0.78648,0.78647,0.78915
BHMT,4.3522,0.011627,0.78845,0.78647,0.78915
APOBEC3C,4.3436,0.011691,0.78821,0.78647,0.78915
N4BP2L2,-4.3401,0.011741,0.78706,0.78647,0.78915
POLR1A,-4.3351,0.011799,0.78647,0.78647,0.78915
ZNF582,-4.3249,0.011898,0.78854,0.78854,0.79122
DNAJC14,4.3065,0.012044,0.79374,0.79136,0.79405
EIF3G,4.3024,0.012075,0.79136,0.79136,0.79405
CDK8,-4.2862,0.012233,0.79725,0.79593,0.79864
GAA,-4.2826,0.01228,0.79593,0.79593,0.79864
SPARC,4.2656,0.012411,0.79997,0.79856,0.80127
DUSP18,-4.2536,0.012557,0.80494,0.79856,0.80127
TRAM2,4.2533,0.01256,0.80076,0.79856,0.80127
EZR,4.2499,0.012631,0.80092,0.79856,0.80127
GLIPR1,4.2431,0.012706,0.8014,0.79856,0.80127
DTX1,-4.237,0.012742,0.79937,0.79856,0.80127
GTF2A1,-4.2276,0.012798,0.79856,0.79856,0.80127
GEMIN8,4.2216,0.01287,0.79884,0.79884,0.80156
PCDHA13,4.215,0.012945,0.79929,0.79929,0.802
PCDHA2,4.2055,0.013041,0.80094,0.80094,0.80366
ZNF345,4.1906,0.013205,0.80682,0.80682,0.80956
DAG1,4.1803,0.01331,0.80901,0.80901,0.81176
IGFBP6,4.1608,0.013526,0.81793,0.81793,0.82071
INPP5D,4.1392,0.013782,0.82909,0.82909,0.83191
KCNA2,-4.1188,0.014002,0.83807,0.83336,0.8362
NLGN4X,4.1057,0.0141,0.83963,0.83336,0.8362
PTDSS2,4.1044,0.014112,0.83609,0.83336,0.8362
CSRP2,4.1029,0.014137,0.83336,0.83336,0.8362
PARP3,-4.0936,0.014288,0.83806,0.83658,0.83942
TNFRSF12A,4.0904,0.014368,0.83857,0.83658,0.83942
ZNF833P,4.0791,0.014503,0.84225,0.83658,0.83942
EPHA2,4.0771,0.014547,0.84066,0.83658,0.83942
IMPDH1,-4.0771,0.014548,0.83658,0.83658,0.83942
AJUBA,4.0611,0.014715,0.84204,0.83859,0.84144
SLCO4A1,-4.0524,0.014806,0.84316,0.83859,0.84144
CALCOCO1,4.0488,0.014845,0.84132,0.83859,0.84144
SNAI2,4.0472,0.014887,0.83962,0.83859,0.84144
BDH1,-4.0456,0.01494,0.83859,0.83859,0.84144
CRYAB,4.0371,0.015045,0.84043,0.84043,0.84329
CHID1,4.0298,0.015149,0.84227,0.84227,0.84514
ARSD,4.0016,0.015456,0.85529,0.84546,0.84834
LGALS1,4.0006,0.015464,0.8517,0.84546,0.84834
TAP1,3.9977,0.015489,0.84909,0.84546,0.84834
C22orf29,3.9929,0.015545,0.84819,0.84546,0.84834
CRYBB2,3.992,0.015567,0.84546,0.84546,0.84834
FMNL3,3.9811,0.015701,0.84881,0.84881,0.8517
KCND1,-3.9673,0.015902,0.85574,0.84997,0.85286
LAPTM4A,3.9643,0.015954,0.85461,0.84997,0.85286
CPA4,3.9512,0.016138,0.86052,0.84997,0.85286
RREB1,3.9478,0.016179,0.85883,0.84997,0.85286
DDX27,3.9446,0.016222,0.85724,0.84997,0.85286
GLB1,3.9439,0.01623,0.8538,0.84997,0.85286
RASGRP2,-3.9368,0.016343,0.85591,0.84997,0.85286
IQGAP1,3.9271,0.016526,0.86166,0.84997,0.85286
ZNF34,3.9259,0.016541,0.85861,0.84997,0.85286
EIF2AK3,3.9236,0.016607,0.85822,0.84997,0.85286
KRT18,3.9223,0.016646,0.85648,0.84997,0.85286
SIM2,3.9194,0.016703,0.85564,0.84997,0.85286
TMEM40,3.9179,0.016721,0.85284,0.84997,0.85286
MZT2A,-3.9094,0.01682,0.8542,0.84997,0.85286
SLC25A40,3.9047,0.016868,0.85292,0.84997,0.85286
HSP90AA1,3.895,0.017007,0.85625,0.84997,0.85286
KRT8,3.8907,0.017075,0.85601,0.84997,0.85286
PPP1R9B,-3.8881,0.017097,0.8535,0.84997,0.85286
FRMD6,3.888,0.017099,0.84997,0.84997,0.85286
SMAD3,3.8825,0.017183,0.85052,0.85052,0.85342
ST6GALNAC5,3.8651,0.017364,0.85589,0.85287,0.85577
MVP,3.8484,0.01756,0.86192,0.85287,0.85577
LOC650368,3.8475,0.01758,0.85932,0.85287,0.85577
DLL3,-3.8363,0.017719,0.86249,0.85287,0.85577
RP2,3.8354,0.017732,0.85958,0.85287,0.85577
B2M,3.8288,0.017846,0.86152,0.85287,0.85577
SDC4,3.8287,0.017848,0.8581,0.85287,0.85577
PTK2B,3.8229,0.017932,0.85862,0.85287,0.85577
SLC16A9,-3.8171,0.01801,0.85884,0.85287,0.85577
PLIN2,3.8156,0.018033,0.85647,0.85287,0.85577
C10orf47,3.8098,0.01809,0.85571,0.85287,0.85577
ITIH5,3.8092,0.018103,0.85287,0.85287,0.85577
PLTP,3.7921,0.018415,0.8641,0.8641,0.86704
SOCS7,-3.7839,0.018539,0.86648,0.86617,0.86912
TIMP3,3.7801,0.018607,0.86617,0.86617,0.86912
AKR1E2,-3.7675,0.018792,0.87135,0.86878,0.87173
CENPW,-3.7663,0.018811,0.86878,0.86878,0.87173
RASSF2,3.7565,0.018996,0.87388,0.87388,0.87685
ATF3,3.7374,0.019346,0.88654,0.87652,0.8795
STOM,-3.7347,0.01939,0.88509,0.87652,0.8795
LRRC41,-3.7328,0.019417,0.88286,0.87652,0.8795
TMEM123,3.7245,0.019507,0.88353,0.87652,0.8795
SERPINB8,3.7185,0.019574,0.88318,0.87652,0.8795
MPRIP,-3.7089,0.019694,0.88518,0.87652,0.8795
BCL6,3.7059,0.019704,0.88227,0.87652,0.8795
SERBP1,3.7039,0.019728,0.87997,0.87652,0.8795
SLC35E2,3.7031,0.019738,0.87707,0.87652,0.8795
F11R,3.6943,0.019872,0.87969,0.87652,0.8795
MRPL54,3.685,0.019995,0.88183,0.87652,0.8795
SYNRG,3.6846,0.020001,0.8788,0.87652,0.8795
REPS2,-3.6818,0.02008,0.87895,0.87652,0.8795
B4GALT1,3.6794,0.020168,0.87952,0.87652,0.8795
KLHL24,3.6724,0.020229,0.87892,0.87652,0.8795
SMARCAD1,3.6674,0.020311,0.87924,0.87652,0.8795
ARHGEF6,3.663,0.020391,0.87945,0.87652,0.8795
LEPROT,3.6628,0.020398,0.87652,0.87652,0.8795
IL4R,3.6539,0.020568,0.88062,0.88062,0.88362
CNTRL,-3.6431,0.02073,0.88433,0.88318,0.88618
LAMTOR2,3.6397,0.020779,0.88318,0.88318,0.88618
FAM198B,3.6283,0.020991,0.88898,0.88898,0.892
CD82,3.6195,0.021156,0.89276,0.89112,0.89415
ARMC8,-3.6173,0.021194,0.89112,0.89112,0.89415
GABRA3,-3.6079,0.021364,0.89508,0.89269,0.89572
METTL1,-3.604,0.021397,0.89329,0.89269,0.89572
FAM210B,3.6002,0.021459,0.89269,0.89269,0.89572
CRYBB3,3.5892,0.021648,0.89737,0.89322,0.89626
CCND1,3.5885,0.021679,0.89547,0.89322,0.89626
AACSP1,-3.5881,0.0217,0.89322,0.89322,0.89626
PHF8,3.5852,0.021802,0.89427,0.89427,0.89731
RPL10A,3.5687,0.022115,0.90395,0.90395,0.90703
PABPC4,-3.5628,0.022259,0.90666,0.90666,0.90975
DGCR14,-3.5546,0.022474,0.91225,0.90965,0.91274
CSDA,3.5538,0.022487,0.90965,0.90965,0.91274
SFTA1P,3.5482,0.022569,0.90984,0.90984,0.91294
CHD6,3.5431,0.022724,0.91294,0.91123,0.91433
MMD,-3.5373,0.022889,0.91644,0.91123,0.91433
SARNP,3.5324,0.023019,0.9185,0.91123,0.91433
TYW1B,-3.5315,0.023043,0.91634,0.91123,0.91433
ABLIM3,-3.5299,0.023078,0.91465,0.91123,0.91433
ZNF143,3.5289,0.023096,0.91227,0.91123,0.91433
DNM1,-3.5259,0.023148,0.91123,0.91123,0.91433
CSPP1,3.5194,0.023262,0.91268,0.91268,0.91578
CYBA,3.5079,0.023533,0.92023,0.92016,0.92329
MN1,3.5039,0.023671,0.92256,0.92016,0.92329
LACTB,3.5031,0.023688,0.92016,0.92016,0.92329
RDH11,3.498,0.023821,0.92226,0.92226,0.92539
PCDHB10,-3.4936,0.023917,0.92295,0.92243,0.92557
ARMCX2,3.4851,0.0241,0.92696,0.92243,0.92557
FBXW4P1,-3.4849,0.024105,0.92411,0.92243,0.92557
TUBA4A,-3.4808,0.024209,0.92509,0.92243,0.92557
NFKB2,3.4774,0.024295,0.92533,0.92243,0.92557
MFGE8,3.4772,0.024297,0.92243,0.92243,0.92557
CACNA1E,-3.4661,0.024507,0.92742,0.92742,0.93057
ARHGEF40,3.4596,0.024655,0.92999,0.92952,0.93268
TP53,3.4563,0.024721,0.92952,0.92952,0.93268
PTPN14,3.4515,0.024835,0.93082,0.93019,0.93336
SDHA,-3.4495,0.024898,0.93019,0.93019,0.93336
C11orf48,3.4441,0.025044,0.93269,0.93106,0.93422
UACA,3.4418,0.025092,0.93152,0.93106,0.93422
NCALD,-3.4366,0.025175,0.93163,0.93106,0.93422
MAPK8IP3,-3.4334,0.025239,0.93106,0.93106,0.93422
VAMP3,3.4267,0.025423,0.93492,0.93209,0.93526
MGST1,3.4252,0.02548,0.9341,0.93209,0.93526
ABCA3,-3.4242,0.025505,0.93209,0.93209,0.93526
GSTT1,-3.416,0.025661,0.93488,0.9324,0.93557
RBPMS,3.4083,0.025806,0.93725,0.9324,0.93557
HDAC1,3.4057,0.025863,0.93641,0.9324,0.93557
KDM6A,-3.4006,0.02601,0.93886,0.9324,0.93557
PLEKHG1,3.4004,0.026017,0.93622,0.9324,0.93557
C20orf196,3.4003,0.026018,0.93341,0.9324,0.93557
NOMO2,3.394,0.026122,0.93428,0.9324,0.93557
KLLN,-3.393,0.026149,0.9324,0.9324,0.93557
ACTR8,-3.3882,0.02629,0.93457,0.93276,0.93593
TMEM2,3.3852,0.026338,0.93346,0.93276,0.93593
WLS,3.3826,0.026398,0.93276,0.93276,0.93593
PON2,3.3786,0.026492,0.93329,0.93329,0.93646
NDUFS3,-3.3681,0.026733,0.93894,0.93495,0.93813
UHRF1BP1,-3.3632,0.02692,0.94269,0.93495,0.93813
D21S2088E,3.3589,0.027037,0.94397,0.93495,0.93813
QKI,3.3527,0.027124,0.9442,0.93495,0.93813
TPM2,3.3517,0.027145,0.94214,0.93495,0.93813
ZFYVE26,-3.3485,0.027228,0.94222,0.93495,0.93813
NOTCH3,3.3485,0.027229,0.9395,0.93495,0.93813
MMP14,3.3458,0.027329,0.94018,0.93495,0.93813
HELQ,-3.3457,0.027335,0.93764,0.93495,0.93813
GPR26,-3.3456,0.027338,0.93501,0.93495,0.93813
DHRS3,3.3393,0.027505,0.93797,0.93495,0.93813
SPRY3,-3.3347,0.027621,0.93919,0.93495,0.93813
ODF2,3.3342,0.027631,0.93684,0.93495,0.93813
COL4A1,3.3331,0.027655,0.93495,0.93495,0.93813
C20orf112,-3.3233,0.027953,0.9423,0.9423,0.9455
TAOK1,-3.3166,0.028222,0.94863,0.9438,0.94701
RAB43,3.3108,0.028355,0.9504,0.9438,0.94701
PAPPA,3.3056,0.028474,0.95167,0.9438,0.94701
DCX,3.3027,0.028556,0.95168,0.9438,0.94701
CHRNB1,3.2995,0.028628,0.95138,0.9438,0.94701
FERMT2,-3.2933,0.028784,0.95385,0.9438,0.94701
SLC25A30,-3.2932,0.028785,0.95121,0.9438,0.94701
ZNF85,3.2894,0.028913,0.95276,0.9438,0.94701
TMEM206,3.2894,0.028914,0.95011,0.9438,0.94701
ANKRD1,3.289,0.028928,0.94792,0.9438,0.94701
DHRSX,3.2888,0.028935,0.94551,0.9438,0.94701
PDLIM7,3.2865,0.029018,0.94559,0.9438,0.94701
ARL5B,-3.2856,0.029044,0.94383,0.9438,0.94701
LITAF,3.282,0.029133,0.94411,0.9438,0.94701
NDUFA9,-3.2796,0.029204,0.9438,0.9438,0.94701
SRPX2,3.2695,0.029508,0.951,0.951,0.95423
SYPL1,3.2572,0.029843,0.95915,0.95571,0.95896
SPOCD1,3.2569,0.029851,0.9568,0.95571,0.95896
RALGPS2,3.2537,0.029979,0.95829,0.95571,0.95896
YWHAE,-3.2501,0.030091,0.95924,0.95571,0.95896
CACTIN,-3.248,0.030121,0.9576,0.95571,0.95896
USP9X,-3.2451,0.030256,0.95929,0.95571,0.95896
ITGA5,3.244,0.030289,0.95775,0.95571,0.95896
ZNF182,3.2431,0.030306,0.95571,0.95571,0.95896
PVRL2,3.2315,0.030621,0.96305,0.96146,0.96472
CNTNAP4,-3.2285,0.030685,0.96247,0.96146,0.96472
IGFBP2,3.2268,0.030734,0.96146,0.96146,0.96472
SERPINH1,3.2225,0.0309,0.96406,0.96406,0.96734
CHCHD7,3.2163,0.031018,0.96519,0.96459,0.96787
CHD9,-3.2143,0.031081,0.96459,0.96459,0.96787
C1QTNF6,-3.2117,0.031177,0.965,0.965,0.96828
PRR5L,3.2092,0.031272,0.9654,0.9654,0.96869
MYL12A,3.2004,0.031479,0.96926,0.96697,0.97026
KRTCAP2,3.2001,0.031487,0.96697,0.96697,0.97026
LINC00552,-3.1918,0.031782,0.97348,0.96993,0.97323
PARP1,-3.1918,0.031784,0.97099,0.96993,0.97323
UG0898H09,3.1906,0.031832,0.96993,0.96993,0.97323
TRIP12,3.1812,0.032162,0.97746,0.97604,0.97936
MYO1E,3.17,0.032552,0.98675,0.97604,0.97936
CRYBA2,3.1609,0.032841,0.99295,0.97604,0.97936
STAT3,3.1609,0.032843,0.99046,0.97604,0.97936
PFN1,3.1603,0.032865,0.98856,0.97604,0.97936
ATP2B2,-3.1581,0.032954,0.98872,0.97604,0.97936
PCDHGB4,-3.1566,0.033007,0.98778,0.97604,0.97936
MPV17,3.1542,0.033088,0.98768,0.97604,0.97936
PCDH18,3.1539,0.033096,0.9854,0.97604,0.97936
MESDC1,3.1506,0.033205,0.98614,0.97604,0.97936
NUP214,-3.1449,0.033417,0.98996,0.97604,0.97936
NAGK,3.1443,0.033443,0.98821,0.97604,0.97936
DHX33,3.1433,0.033489,0.9871,0.97604,0.97936
ELOVL2,3.1409,0.033564,0.98682,0.97604,0.97936
TIAM1,3.1358,0.033705,0.98849,0.97604,0.97936
ZNF75D,3.134,0.033778,0.98818,0.97604,0.97936
ZMYM3,-3.1319,0.033852,0.98788,0.97604,0.97936
AMOTL1,3.1288,0.033947,0.98818,0.97604,0.97936
ZDHHC5,3.1275,0.033988,0.98693,0.97604,0.97936
PGM1,3.1264,0.034031,0.98573,0.97604,0.97936
FLNA,3.126,0.034048,0.9838,0.97604,0.97936
PTRF,3.1236,0.034163,0.98468,0.97604,0.97936
CALD1,3.1218,0.034257,0.98499,0.97604,0.97936
LOC202181,-3.1211,0.034289,0.9835,0.97604,0.97936
LUZP1,3.1196,0.034363,0.9832,0.97604,0.97936
AHNAK,3.1179,0.034433,0.98281,0.97604,0.97936
SYAP1,3.1168,0.034467,0.9814,0.97604,0.97936
HUNK,3.1162,0.034482,0.97945,0.97604,0.97936
NQO1,3.115,0.034517,0.97807,0.97604,0.97936
ERAP1,-3.1146,0.034528,0.97604,0.97604,0.97936
SFXN5,-3.1116,0.034613,0.97607,0.97607,0.97939
PAMR1,3.1083,0.034725,0.9769,0.9769,0.98022
MED17,-3.103,0.034927,0.98023,0.98023,0.98356
AP5S1,-3.0976,0.035104,0.98283,0.98283,0.98617
BHLHE40,3.0897,0.035347,0.9873,0.98558,0.98893
TFPI,3.0889,0.03537,0.98558,0.98558,0.98893
VWCE,3.0758,0.035919,0.99851,0.99444,0.99782
AGPAT3,3.0752,0.035945,0.99686,0.99444,0.99782
SCAF11,3.0745,0.035971,0.99524,0.99444,0.99782
BMP7,3.0722,0.036067,0.99556,0.99444,0.99782
CAPRIN2,-3.069,0.036177,0.99625,0.99444,0.99782
SUPV3L1,-3.0684,0.036197,0.99444,0.99444,0.99782
ZNF107,3.0609,0.036493,1,0.99501,0.9984
TRIM66,-3.0576,0.036657,1,0.99501,0.9984
UQCR10,3.0533,0.036811,1,0.99501,0.9984
NAPA,-3.0533,0.036812,1,0.99501,0.9984
ZBTB8B,3.0516,0.03687,1,0.99501,0.9984
MAPK8IP1,-3.0417,0.037157,1,0.99501,0.9984
MIB1,-3.0413,0.037169,1,0.99501,0.9984
ZSCAN2,3.0334,0.037469,1,0.99501,0.9984
CLDN1,3.0321,0.037507,1,0.99501,0.9984
FAM81A,-3.0294,0.037592,1,0.99501,0.9984
TBCCD1,-3.0269,0.037712,1,0.99501,0.9984
EPM2A,3.0252,0.037804,1,0.99501,0.9984
HDHD3,-3.0243,0.037851,1,0.99501,0.9984
USP1,3.022,0.037958,1,0.99501,0.9984
