Gene,t-scores,p-values,FDR-adjusted p-values,q-values,BH FDR-adjusted p-values
LOC644554,-3.2751,0.015126,1,0.99956,0.99956
LOC440434,3.2467,0.015677,1,0.99956,0.99956
TSEN34,-3.2421,0.015776,1,0.99956,0.99956
POU3F4,-3.2264,0.016133,1,0.99956,0.99956
ODF2L,3.199,0.016706,1,0.99956,0.99956
FAM86HP,-3.1801,0.017168,1,0.99956,0.99956
PACRGL,3.1645,0.017511,1,0.99956,0.99956
FAM21C,3.1418,0.018048,1,0.99956,0.99956
ZNF419,3.1076,0.01893,1,0.99956,0.99956
DHX57,3.0955,0.019205,1,0.99956,0.99956
ZNF547,-3.0765,0.019749,1,0.99956,0.99956
DDX3Y,-3.0735,0.019824,1,0.99956,0.99956
TMED5,-3.0382,0.020756,1,0.99956,0.99956
NCOA2,3.0259,0.021105,1,0.99956,0.99956
LOC220906,3.0242,0.021152,1,0.99956,0.99956
SLITRK4,-3.0185,0.0213,1,0.99956,0.99956
LOC642852,3.0177,0.021315,1,0.99956,0.99956
ALAS1,3.0175,0.02132,1,0.99956,0.99956
NOA1,-2.9916,0.022017,1,0.99956,0.99956
SNAP29,2.9881,0.022162,1,0.99956,0.99956
ZNF167,2.9711,0.022638,1,0.99956,0.99956
ATP7B,2.963,0.022892,1,0.99956,0.99956
ZNF276,-2.9556,0.023112,1,0.99956,0.99956
N4BP2,2.9517,0.023218,1,0.99956,0.99956
NR1D2,-2.9505,0.023261,1,0.99956,0.99956
RPS4X,2.9454,0.023422,1,0.99956,0.99956
GTF2H2B,2.9243,0.024052,1,0.99956,0.99956
ZNF615,2.914,0.024402,1,0.99956,0.99956
SCN8A,2.9128,0.024467,1,0.99956,0.99956
CBX6,2.9111,0.024555,1,0.99956,0.99956
ZNF200,2.9074,0.024718,1,0.99956,0.99956
ATXN10,2.9054,0.024818,1,0.99956,0.99956
RPL23AP53,2.9051,0.024829,1,0.99956,0.99956
THAP4,-2.9038,0.024852,1,0.99956,0.99956
CNTNAP4,-2.8884,0.025343,1,0.99956,0.99956
CTPS2,2.8867,0.0254,1,0.99956,0.99956
REP15,-2.8867,0.025402,1,0.99956,0.99956
ZNF468,-2.8856,0.025436,1,0.99956,0.99956
SLC6A6,-2.8787,0.02564,1,0.99956,0.99956
TOP1,2.8655,0.026121,1,0.99956,0.99956
ANAPC15,2.8508,0.026644,1,0.99956,0.99956
SCARNA18,-2.8213,0.027736,1,0.99956,0.99956
SFXN4,-2.8192,0.027804,1,0.99956,0.99956
ZBED1,2.8185,0.027832,1,0.99956,0.99956
MLL3,2.8049,0.028337,1,0.99956,0.99956
ARSD,2.7819,0.029299,1,0.99956,0.99956
VPS53,2.7802,0.029372,1,0.99956,0.99956
PABPC5,2.7781,0.029453,1,0.99956,0.99956
ZNF79,2.773,0.029647,1,0.99956,0.99956
SLC35E2,2.7665,0.029941,1,0.99956,0.99956
SERGEF,2.7561,0.030391,1,0.99956,0.99956
NUP155,2.7512,0.030587,1,0.99956,0.99956
TAF7,2.7494,0.030656,1,0.99956,0.99956
PAK3,2.7375,0.031184,1,0.99956,0.99956
H2AFZ,-2.7321,0.031403,1,0.99956,0.99956
LOC284385,2.732,0.031407,1,0.99956,0.99956
CUBN,2.7261,0.03162,1,0.99956,0.99956
ATP7A,2.7209,0.031846,1,0.99956,0.99956
ZNF100,-2.7191,0.031926,1,0.99956,0.99956
HPS5,2.7112,0.032284,1,0.99956,0.99956
CDK17,2.6996,0.032793,1,0.99956,0.99956
PSMC6,-2.6902,0.033255,1,0.99956,0.99956
RPS21,-2.6839,0.033542,1,0.99956,0.99956
NAA35,2.6751,0.033933,1,0.99956,0.99956
STRN,2.6667,0.034347,1,0.99956,0.99956
BYSL,-2.658,0.034752,1,0.99956,0.99956
SPTY2D1,-2.6506,0.035151,1,0.99956,0.99956
ECD,2.6432,0.035531,1,0.99956,0.99956
EXOC2,2.6429,0.035548,1,0.99956,0.99956
NR2C2AP,-2.6428,0.035552,1,0.99956,0.99956
AKAP11,2.6422,0.035585,1,0.99956,0.99956
TMEM178B,2.6359,0.035931,1,0.99956,0.99956
ZNF596,2.633,0.036064,1,0.99956,0.99956
NANP,-2.6316,0.036126,1,0.99956,0.99956
SARM1,2.6245,0.036556,1,0.99956,0.99956
LOC100507032,-2.6204,0.036791,1,0.99956,0.99956
PHF16,2.6175,0.036928,1,0.99956,0.99956
SWT1,2.6101,0.037348,1,0.99956,0.99956
PPP4R1L,-2.6061,0.037585,1,0.99956,0.99956
UFSP2,2.5989,0.037963,1,0.99956,0.99956
ZNF563,-2.5921,0.038368,1,0.99956,0.99956
ARHGEF7,2.5901,0.038476,1,0.99956,0.99956
PEX14,2.5884,0.038561,1,0.99956,0.99956
UBE2I,-2.5856,0.038684,1,0.99956,0.99956
SATB1,2.5826,0.038848,1,0.99956,0.99956
ARL4A,2.5794,0.039027,1,0.99956,0.99956
TMEM200A,2.5787,0.03907,1,0.99956,0.99956
GOSR2,2.5752,0.03926,1,0.99956,0.99956
TIMP2,2.5749,0.039272,1,0.99956,0.99956
NOC3L,-2.573,0.039397,1,0.99956,0.99956
RGPD1,2.572,0.039445,1,0.99956,0.99956
GIT2,2.5716,0.039466,1,0.99956,0.99956
HSD17B10,2.5705,0.039523,1,0.99956,0.99956
LOC731275,2.5656,0.039818,1,0.99956,0.99956
C10orf2,-2.5621,0.039996,1,0.99956,0.99956
SLC16A1,-2.562,0.040006,1,0.99956,0.99956
ZNF732,-2.5568,0.040264,1,0.99956,0.99956
KLHL20,2.5478,0.040743,1,0.99956,0.99956
RRN3,2.5447,0.040947,1,0.99956,0.99956
SUSD5,2.5431,0.041028,1,0.99956,0.99956
PLEKHA6,2.5371,0.041362,1,0.99956,0.99956
FICD,-2.5343,0.041516,1,0.99956,0.99956
UTP14C,2.5327,0.041596,1,0.99956,0.99956
TIMM22,2.5317,0.041651,1,0.99956,0.99956
NAA30,2.5265,0.041973,1,0.99956,0.99956
SLC15A4,2.5256,0.042052,1,0.99956,0.99956
ST8SIA4,2.5204,0.042347,1,0.99956,0.99956
SEMA4G,2.5158,0.042615,1,0.99956,0.99956
INO80D,2.5141,0.0427,1,0.99956,0.99956
MPLKIP,-2.5114,0.042851,1,0.99956,0.99956
TRMT11,-2.5055,0.043187,1,0.99956,0.99956
PRKX,2.5005,0.043511,1,0.99956,0.99956
PCDHGB7,2.4961,0.043836,1,0.99956,0.99956
COMMD9,2.493,0.044049,1,0.99956,0.99956
ARL3,2.4877,0.044335,1,0.99956,0.99956
RPAP1,-2.4853,0.044496,1,0.99956,0.99956
RAF1,2.4849,0.04452,1,0.99956,0.99956
NEMF,2.4834,0.044628,1,0.99956,0.99956
ZNF83,2.482,0.044722,1,0.99956,0.99956
WDR46,-2.4819,0.044729,1,0.99956,0.99956
SLC38A9,2.4781,0.044967,1,0.99956,0.99956
MLL,2.4763,0.045077,1,0.99956,0.99956
UBE2O,2.4745,0.045199,1,0.99956,0.99956
PPP6R2,2.4701,0.04546,1,0.99956,0.99956
ZNF595,-2.47,0.045467,1,0.99956,0.99956
MRRF,2.4681,0.045594,1,0.99956,0.99956
LOC339535,2.4667,0.045706,1,0.99956,0.99956
FLAD1,-2.4662,0.04574,1,0.99956,0.99956
IPO9,2.4648,0.045845,1,0.99956,0.99956
GPATCH1,2.4602,0.046139,1,0.99956,0.99956
MPV17,2.4577,0.046298,1,0.99956,0.99956
CLIC4,-2.4546,0.046487,1,0.99956,0.99956
PMS2L2,-2.4486,0.04696,1,0.99956,0.99956
TMEM187,2.445,0.047206,1,0.99956,0.99956
FAM169A,2.4422,0.047424,1,0.99956,0.99956
PCP4,-2.4413,0.047486,1,0.99956,0.99956
UBTD2,2.439,0.047619,1,0.99956,0.99956
SRA1,-2.4363,0.047765,1,0.99956,0.99956
PSMC2,2.4311,0.048146,1,0.99956,0.99956
CADM1,-2.4306,0.048176,1,0.99956,0.99956
TESK1,2.4297,0.048223,1,0.99956,0.99956
HIST1H4L,2.4291,0.048258,1,0.99956,0.99956
NIP7,-2.4286,0.048289,1,0.99956,0.99956
FNTB,2.42,0.048907,1,0.99956,0.99956
UXT,-2.4142,0.049277,1,0.99956,0.99956
C1orf123,2.4082,0.049721,1,0.99956,0.99956
CYBRD1,-2.4082,0.049721,1,0.99956,0.99956
CA5B,2.405,0.049933,1,0.99956,0.99956
POLR2J2,2.4008,0.050284,1,0.99956,0.99956
CCL2,-2.3967,0.05058,1,0.99956,0.99956
HDGFRP2,2.3961,0.050632,1,0.99956,0.99956
ZNF141,-2.3943,0.050768,1,0.99956,0.99956
FOXN2,2.3922,0.050916,1,0.99956,0.99956
PCDHB2,2.3794,0.051872,1,0.99956,0.99956
ZNF673,2.379,0.051901,1,0.99956,0.99956
DDRGK1,-2.3727,0.052355,1,0.99956,0.99956
SSR3,-2.3657,0.052865,1,0.99956,0.99956
EXOC4,2.3655,0.052885,1,0.99956,0.99956
HIST1H3I,2.3651,0.052919,1,0.99956,0.99956
FAM168A,2.3361,0.055073,1,0.99956,0.99956
ALG11,2.3328,0.05532,1,0.99956,0.99956
MFSD6,2.3309,0.05549,1,0.99956,0.99956
DGAT1,2.3252,0.055971,1,0.99956,0.99956
LYAR,-2.3186,0.056527,1,0.99956,0.99956
MRPL4,-2.3138,0.056942,1,0.99956,0.99956
RGP1,2.3072,0.057438,1,0.99956,0.99956
AP3S2,2.3068,0.057467,1,0.99956,0.99956
KIFAP3,2.2985,0.05813,1,0.99956,0.99956
C18orf25,-2.2948,0.058433,1,0.99956,0.99956
TIMM17A,-2.2889,0.05892,1,0.99956,0.99956
FKBP4,-2.2881,0.058993,1,0.99956,0.99956
HS2ST1,2.2874,0.059055,1,0.99956,0.99956
DNAJC15,2.2872,0.059077,1,0.99956,0.99956
DHRS1,2.2841,0.059337,1,0.99956,0.99956
GABRQ,2.2834,0.059411,1,0.99956,0.99956
REPIN1,-2.2828,0.059457,1,0.99956,0.99956
ZNF561,-2.2798,0.059704,1,0.99956,0.99956
KDM5B,2.2791,0.059775,1,0.99956,0.99956
ASTE1,2.2764,0.060032,1,0.99956,0.99956
R3HDM2,2.2694,0.060621,1,0.99956,0.99956
PI4KA,2.2654,0.060924,1,0.99956,0.99956
KIAA0240,2.2622,0.06122,1,0.99956,0.99956
WIPF1,-2.2621,0.061226,1,0.99956,0.99956
ST20,2.2605,0.06136,1,0.99956,0.99956
PCDHB3,2.2544,0.06194,1,0.99956,0.99956
MSL3,2.2538,0.061979,1,0.99956,0.99956
ZNF714,-2.2521,0.062117,1,0.99956,0.99956
GOLPH3L,2.2512,0.062193,1,0.99956,0.99956
OXSM,-2.245,0.062776,1,0.99956,0.99956
SAMD12,-2.2393,0.063323,1,0.99956,0.99956
BCKDK,-2.2352,0.0637,1,0.99956,0.99956
ATP6V0D2,-2.2328,0.063913,1,0.99956,0.99956
ANKRD23,2.2276,0.064339,1,0.99956,0.99956
NIN,2.2274,0.064348,1,0.99956,0.99956
PSMD5,2.2267,0.064411,1,0.99956,0.99956
KIAA0895L,2.2156,0.065418,1,0.99956,0.99956
RRP1,-2.2118,0.065847,1,0.99956,0.99956
PPTC7,-2.2097,0.066061,1,0.99956,0.99956
STRBP,2.2081,0.066208,1,0.99956,0.99956
DCAF13,-2.2026,0.066789,1,0.99956,0.99956
FUCA1,2.1997,0.067041,1,0.99956,0.99956
GPS2,2.1951,0.067556,1,0.99956,0.99956
ZBTB46,2.1947,0.067606,1,0.99956,0.99956
SBF2,2.1939,0.067687,1,0.99956,0.99956
LY6G5C,2.1938,0.067692,1,0.99956,0.99956
BNIP3,-2.1896,0.068145,1,0.99956,0.99956
PI4KB,2.1858,0.068528,1,0.99956,0.99956
LDHB,-2.1856,0.068545,1,0.99956,0.99956
PLRG1,2.1842,0.068684,1,0.99956,0.99956
TMEM175,2.1776,0.069321,1,0.99956,0.99956
SBNO1,2.1774,0.069345,1,0.99956,0.99956
GALNS,2.1758,0.069505,1,0.99956,0.99956
PLCB1,2.173,0.069769,1,0.99956,0.99956
ERCC1,-2.1726,0.06981,1,0.99956,0.99956
MYCBP2,2.1713,0.06994,1,0.99956,0.99956
LRCH2,2.17,0.07005,1,0.99956,0.99956
TNFRSF10B,-2.1695,0.070097,1,0.99956,0.99956
RNF166,-2.1695,0.070098,1,0.99956,0.99956
KPTN,2.1679,0.07027,1,0.99956,0.99956
GOLGA1,2.167,0.070386,1,0.99956,0.99956
TTLL5,2.1634,0.07075,1,0.99956,0.99956
PCDHB13,2.163,0.070794,1,0.99956,0.99956
ABHD12,-2.1598,0.071117,1,0.99956,0.99956
SAMHD1,2.1591,0.071187,1,0.99956,0.99956
RBBP7,2.1546,0.071667,1,0.99956,0.99956
THADA,2.1545,0.071675,1,0.99956,0.99956
MYO7A,-2.1532,0.071827,1,0.99956,0.99956
B3GALT6,2.1526,0.071889,1,0.99956,0.99956
NSUN2,-2.1512,0.072028,1,0.99956,0.99956
LOC220729,2.1511,0.072036,1,0.99956,0.99956
ZNF622,2.1488,0.072335,1,0.99956,0.99956
THAP10,2.1468,0.072543,1,0.99956,0.99956
ZNF506,-2.1418,0.073055,1,0.99956,0.99956
ZNF583,-2.1401,0.073276,1,0.99956,0.99956
CEP44,2.1377,0.07354,1,0.99956,0.99956
TP53BP2,2.1369,0.073624,1,0.99956,0.99956
DARS2,2.1331,0.074072,1,0.99956,0.99956
PSMC3IP,-2.1312,0.07428,1,0.99956,0.99956
ZNF702P,-2.1289,0.074499,1,0.99956,0.99956
NEK9,2.1278,0.074639,1,0.99956,0.99956
SNTA1,2.127,0.074745,1,0.99956,0.99956
KIAA2013,-2.127,0.074754,1,0.99956,0.99956
PNPO,2.1249,0.074985,1,0.99956,0.99956
ZNF462,2.1232,0.075187,1,0.99956,0.99956
SNCB,2.1224,0.075282,1,0.99956,0.99956
CCDC149,2.118,0.075722,1,0.99956,0.99956
SNRPA1,-2.1158,0.075964,1,0.99956,0.99956
POLE4,2.1154,0.076011,1,0.99956,0.99956
CNTNAP3B,-2.1133,0.076249,1,0.99956,0.99956
HNRNPA3,2.1112,0.076482,1,0.99956,0.99956
TMEM194B,-2.1098,0.076626,1,0.99956,0.99956
CHD6,2.1077,0.076844,1,0.99956,0.99956
AJAP1,2.1074,0.076869,1,0.99956,0.99956
PPT1,-2.1065,0.076975,1,0.99956,0.99956
CCDC174,2.1048,0.077173,1,0.99956,0.99956
SLC40A1,2.1019,0.077496,1,0.99956,0.99956
ZNF470,2.1019,0.077496,1,0.99956,0.99956
PLA2G16,-2.1017,0.077526,1,0.99956,0.99956
DDX27,-2.0988,0.077865,1,0.99956,0.99956
FKBP15,2.0977,0.077996,1,0.99956,0.99956
IFITM3,-2.0941,0.078443,1,0.99956,0.99956
RPSAP58,2.0916,0.078763,1,0.99956,0.99956
PARG,2.0912,0.078808,1,0.99956,0.99956
KGFLP2,-2.0901,0.078934,1,0.99956,0.99956
DIXDC1,2.0893,0.079027,1,0.99956,0.99956
BTBD8,2.0862,0.079425,1,0.99956,0.99956
SPATA5L1,-2.0832,0.079763,1,0.99956,0.99956
CWF19L2,2.0829,0.079792,1,0.99956,0.99956
LINC00515,2.076,0.08053,1,0.99956,0.99956
FN3KRP,2.0721,0.080921,1,0.99956,0.99956
ZFX,2.0714,0.080999,1,0.99956,0.99956
MARS,-2.0703,0.081132,1,0.99956,0.99956
ZNF81,2.0684,0.081387,1,0.99956,0.99956
LOC388152,-2.0659,0.081691,1,0.99956,0.99956
NPM1,-2.0638,0.081972,1,0.99956,0.99956
MIR600HG,2.058,0.082682,1,0.99956,0.99956
SLC25A1,2.058,0.082688,1,0.99956,0.99956
PTPN21,2.0514,0.08348,1,0.99956,0.99956
IDH3A,2.0474,0.083947,1,0.99956,0.99956
LOC388796,-2.0465,0.084043,1,0.99956,0.99956
BLOC1S6,-2.046,0.08409,1,0.99956,0.99956
MAK16,-2.0443,0.084275,1,0.99956,0.99956
LOC389906,2.0408,0.084687,1,0.99956,0.99956
IQCA1,-2.0381,0.085034,1,0.99956,0.99956
HNRNPA2B1,2.0354,0.085354,1,0.99956,0.99956
FAM86A,-2.0346,0.085462,1,0.99956,0.99956
RBM4,2.0334,0.085638,1,0.99956,0.99956
LOC493754,2.0333,0.085649,1,0.99956,0.99956
PCDHA13,2.0285,0.086227,1,0.99956,0.99956
SLITRK2,-2.0274,0.08635,1,0.99956,0.99956
SNORA68,-2.0269,0.086401,1,0.99956,0.99956
SYNE2,2.0264,0.086471,1,0.99956,0.99956
DPH3P1,2.0263,0.086487,1,0.99956,0.99956
SNORD15B,-2.0241,0.086765,1,0.99956,0.99956
ZNF250,2.0232,0.086867,1,0.99956,0.99956
PLAA,2.0227,0.086921,1,0.99956,0.99956
MUM1L1,-2.0226,0.086934,1,0.99956,0.99956
DR1,-2.0188,0.087445,1,0.99956,0.99956
POLR2D,2.0178,0.087555,1,0.99956,0.99956
COPA,2.0172,0.087623,1,0.99956,0.99956
NSMCE1,-2.0164,0.087736,1,0.99956,0.99956
CHST10,2.0154,0.087867,1,0.99956,0.99956
NUDT4,-2.0148,0.087939,1,0.99956,0.99956
PTPRT,2.0147,0.087956,1,0.99956,0.99956
STAT2,2.0146,0.087958,1,0.99956,0.99956
PCDHGB6,2.0101,0.08855,1,0.99956,0.99956
SAMD15,2.0077,0.088845,1,0.99956,0.99956
FRYL,2.0065,0.088972,1,0.99956,0.99956
SASS6,2.0062,0.089003,1,0.99956,0.99956
NOP10,-2.0056,0.089076,1,0.99956,0.99956
MEIS2,2.0056,0.089076,1,0.99956,0.99956
H2AFY2,2.0034,0.08934,1,0.99956,0.99956
OSTF1,2.0022,0.089477,1,0.99956,0.99956
TSPYL4,2.0012,0.089585,1,0.99956,0.99956
ULK2,1.9999,0.089749,1,0.99956,0.99956
PRKY,-1.9994,0.089809,1,0.99956,0.99956
RANBP2,1.9978,0.090013,1,0.99956,0.99956
BTBD9,1.9978,0.090015,1,0.99956,0.99956
CHGA,-1.9948,0.090382,1,0.99956,0.99956
SOCS7,1.9933,0.090577,1,0.99956,0.99956
ZYG11B,1.9899,0.090971,1,0.99956,0.99956
CDH10,1.9852,0.091611,1,0.99956,0.99956
KDM3B,1.9836,0.0918,1,0.99956,0.99956
CDC14A,-1.9832,0.091844,1,0.99956,0.99956
DNAJB7,1.9804,0.092209,1,0.99956,0.99956
ASCC1,1.9794,0.092345,1,0.99956,0.99956
GLI4,-1.979,0.092396,1,0.99956,0.99956
MAP1B,1.9789,0.092399,1,0.99956,0.99956
NQO2,-1.9784,0.092476,1,0.99956,0.99956
SRGAP1,1.9782,0.092498,1,0.99956,0.99956
EXOSC8,-1.9763,0.092751,1,0.99956,0.99956
GDI2,1.9758,0.092822,1,0.99956,0.99956
MTR,1.9728,0.093251,1,0.99956,0.99956
ZNF16,1.9724,0.093308,1,0.99956,0.99956
SAR1B,1.9718,0.0934,1,0.99956,0.99956
IFITM1,-1.9704,0.093605,1,0.99956,0.99956
GOLGA5,-1.9688,0.093845,1,0.99956,0.99956
LPCAT3,1.9687,0.093861,1,0.99956,0.99956
FBXO46,1.9655,0.094251,1,0.99956,0.99956
C9orf116,1.9655,0.094256,1,0.99956,0.99956
TAF15,1.9582,0.095237,1,0.99956,0.99956
ARL15,1.9543,0.095744,1,0.99956,0.99956
DNAH5,1.9532,0.095882,1,0.99956,0.99956
NREP,1.9497,0.096385,1,0.99956,0.99956
KLF3,-1.9496,0.0964,1,0.99956,0.99956
PCDHA11,1.9462,0.096879,1,0.99956,0.99956
SYNJ2BP,1.9461,0.096883,1,0.99956,0.99956
ATG7,1.9455,0.096971,1,0.99956,0.99956
HIF1A,1.9455,0.096976,1,0.99956,0.99956
EIF1AD,1.9449,0.097054,1,0.99956,0.99956
CCT6P3,-1.9446,0.097099,1,0.99956,0.99956
SH3KBP1,-1.9419,0.097492,1,0.99956,0.99956
ZNF91,-1.9417,0.097512,1,0.99956,0.99956
COMMD8,-1.9404,0.097702,1,0.99956,0.99956
ZNF708,-1.9397,0.09779,1,0.99956,0.99956
PDIK1L,1.9394,0.09784,1,0.99956,0.99956
MCF2L,1.9381,0.098052,1,0.99956,0.99956
NDUFA8,1.9351,0.098519,1,0.99956,0.99956
SFXN2,1.9294,0.099412,1,0.99956,0.99956
RSL1D1,-1.929,0.099457,1,0.99956,0.99956
CASC3,-1.9287,0.099506,1,0.99956,0.99956
KCNH2,1.9281,0.099596,1,0.99956,0.99956
RECQL5,1.926,0.09992,1,0.99956,0.99956
GNPDA2,-1.9251,0.10006,1,0.99956,0.99956
DYNLL1,1.9251,0.10006,1,0.99956,0.99956
PIBF1,1.9231,0.10032,1,0.99956,0.99956
CLASP1,1.923,0.10034,1,0.99956,0.99956
SFMBT1,1.9223,0.10044,1,0.99956,0.99956
CCDC171,1.9212,0.10059,1,0.99956,0.99956
FLJ22184,1.9205,0.10068,1,0.99956,0.99956
BCAS3,1.9189,0.1009,1,0.99956,0.99956
IFT74,1.9186,0.10094,1,0.99956,0.99956
NRK,-1.9182,0.101,1,0.99956,0.99956
SF3B5,-1.9118,0.10196,1,0.99956,0.99956
PLEKHA2,-1.91,0.10225,1,0.99956,0.99956
RELL2,-1.9087,0.10245,1,0.99956,0.99956
RHOBTB2,1.9082,0.10254,1,0.99956,0.99956
LRCH3,1.9066,0.10281,1,0.99956,0.99956
FBXO17,-1.9059,0.10293,1,0.99956,0.99956
GATC,1.9056,0.10299,1,0.99956,0.99956
FLJ42393,1.9012,0.10358,1,0.99956,0.99956
ATP2A2,1.9006,0.10365,1,0.99956,0.99956
LEPR,-1.9005,0.10366,1,0.99956,0.99956
TIMM44,-1.9001,0.10372,1,0.99956,0.99956
DCP1B,1.8996,0.10378,1,0.99956,0.99956
PPIB,1.8991,0.10386,1,0.99956,0.99956
GPRC5B,-1.8989,0.10389,1,0.99956,0.99956
STPG1,1.8988,0.1039,1,0.99956,0.99956
LOC100132832,1.8977,0.10409,1,0.99956,0.99956
ANAPC5,-1.8923,0.10497,1,0.99956,0.99956
FCHO2,1.8904,0.10525,1,0.99956,0.99956
SNX18,-1.8904,0.10525,1,0.99956,0.99956
ARSB,1.8881,0.10561,1,0.99956,0.99956
ILVBL,-1.8868,0.10582,1,0.99956,0.99956
ANXA2P2,-1.8828,0.10637,1,0.99956,0.99956
WHAMMP1,1.8821,0.10647,1,0.99956,0.99956
ZNF788,-1.8781,0.1071,1,0.99956,0.99956
SNORA49,-1.8761,0.1074,1,0.99956,0.99956
RPSA,-1.8759,0.10743,1,0.99956,0.99956
CBWD1,-1.875,0.10756,1,0.99956,0.99956
FAM81B,1.873,0.10788,1,0.99956,0.99956
COPS5,1.8706,0.1082,1,0.99956,0.99956
GSTM1,1.8675,0.1087,1,0.99956,0.99956
ZNF71,1.8667,0.10882,1,0.99956,0.99956
FUT11,1.8644,0.10912,1,0.99956,0.99956
HOXA1,1.8638,0.1092,1,0.99956,0.99956
ARF1,-1.8623,0.10943,1,0.99956,0.99956
FBXL3,1.859,0.11002,1,0.99956,0.99956
MAP7D1,1.8588,0.11007,1,0.99956,0.99956
EIF1AX,-1.8585,0.1101,1,0.99956,0.99956
NUP160,1.8574,0.11028,1,0.99956,0.99956
LTV1,-1.8565,0.11043,1,0.99956,0.99956
FAM133B,1.8557,0.11057,1,0.99956,0.99956
GALNTL1,1.8532,0.111,1,0.99956,0.99956
RNF150,1.8488,0.11168,1,0.99956,0.99956
ZNF608,1.8472,0.11193,1,0.99956,0.99956
RRP7B,-1.8463,0.11206,1,0.99956,0.99956
STAU1,1.8461,0.1121,1,0.99956,0.99956
PAPD4,1.8459,0.11212,1,0.99956,0.99956
C5orf43,1.8441,0.1124,1,0.99956,0.99956
UBQLN4,-1.8431,0.11255,1,0.99956,0.99956
CYTH2,1.8408,0.11294,1,0.99956,0.99956
HAVCR1P1,1.8399,0.1131,1,0.99956,0.99956
ZDHHC7,-1.838,0.11342,1,0.99956,0.99956
MRPL49,-1.8375,0.11349,1,0.99956,0.99956
KBTBD7,1.8368,0.1136,1,0.99956,0.99956
PQBP1,1.8351,0.11386,1,0.99956,0.99956
PCBD2,1.8334,0.11418,1,0.99956,0.99956
BAI3,1.8329,0.11426,1,0.99956,0.99956
LAS1L,-1.8327,0.11431,1,0.99956,0.99956
ZNF37A,-1.832,0.11445,1,0.99956,0.99956
NUDT22,1.8317,0.11451,1,0.99956,0.99956
ZNF341,-1.8271,0.11533,1,0.99956,0.99956
